Datetime,Open,High,Low,Close,Adj Close,Volume
2022-07-06 09:15:00+05:30,33929.3984375,34091.25,33916.1015625,34023.6484375,34023.6484375,0
2022-07-06 09:20:00+05:30,34022.05078125,34132.8984375,34022.05078125,34129.1484375,34129.1484375,0
2022-07-06 09:25:00+05:30,34127.6015625,34158.0,34107.1484375,34143.44921875,34143.44921875,0
2022-07-06 09:30:00+05:30,34137.6015625,34155.1015625,34096.25,34120.19921875,34120.19921875,0
2022-07-06 09:35:00+05:30,34119.75,34135.69921875,34092.0,34092.0,34092.0,0
2022-07-06 09:40:00+05:30,34093.55078125,34102.05078125,33988.80078125,33992.1484375,33992.1484375,0
2022-07-06 09:45:00+05:30,33997.5,34107.1484375,33962.8515625,34107.1484375,34107.1484375,0
2022-07-06 09:50:00+05:30,34108.69921875,34138.80078125,34098.25,34117.1015625,34117.1015625,0
2022-07-06 09:55:00+05:30,34118.30078125,34122.6484375,34051.0,34060.30078125,34060.30078125,0
2022-07-06 10:00:00+05:30,34060.0,34074.75,34044.1015625,34066.1015625,34066.1015625,0
2022-07-06 10:05:00+05:30,34065.8984375,34101.94921875,34037.75,34086.1484375,34086.1484375,0
2022-07-06 10:10:00+05:30,34086.94921875,34098.6015625,34063.25,34096.44921875,34096.44921875,0
2022-07-06 10:15:00+05:30,34098.19921875,34098.19921875,34068.6484375,34079.1015625,34079.1015625,0
2022-07-06 10:20:00+05:30,34079.1015625,34088.55078125,34061.1484375,34082.3515625,34082.3515625,0
2022-07-06 10:25:00+05:30,34083.1484375,34125.6015625,34083.1484375,34113.30078125,34113.30078125,0
2022-07-06 10:30:00+05:30,34113.94921875,34145.19921875,34090.25,34106.44921875,34106.44921875,0
2022-07-06 10:35:00+05:30,34107.69921875,34141.1015625,34095.0,34130.1484375,34130.1484375,0
2022-07-06 10:40:00+05:30,34132.1015625,34159.6484375,34119.25,34154.94921875,34154.94921875,0
2022-07-06 10:45:00+05:30,34155.55078125,34219.6484375,34149.8515625,34218.55078125,34218.55078125,0
2022-07-06 10:50:00+05:30,34218.1015625,34253.1484375,34203.75,34225.1484375,34225.1484375,0
2022-07-06 10:55:00+05:30,34226.1015625,34232.0,34190.55078125,34205.5,34205.5,0
2022-07-06 11:00:00+05:30,34206.80078125,34215.1484375,34182.69921875,34203.05078125,34203.05078125,0
2022-07-06 11:05:00+05:30,34203.3515625,34211.0,34158.6015625,34163.05078125,34163.05078125,0
2022-07-06 11:10:00+05:30,34159.44921875,34190.30078125,34149.6015625,34177.05078125,34177.05078125,0
2022-07-06 11:15:00+05:30,34178.55078125,34218.1015625,34178.55078125,34194.94921875,34194.94921875,0
2022-07-06 11:20:00+05:30,34196.25,34211.30078125,34172.25,34177.94921875,34177.94921875,0
2022-07-06 11:25:00+05:30,34179.1484375,34188.69921875,34150.3515625,34153.3515625,34153.3515625,0
2022-07-06 11:30:00+05:30,34152.0,34152.8984375,34081.55078125,34081.55078125,34081.55078125,0
2022-07-06 11:35:00+05:30,34082.5,34110.6015625,34069.8984375,34082.30078125,34082.30078125,0
2022-07-06 11:40:00+05:30,34082.8515625,34131.6484375,34079.5,34113.1015625,34113.1015625,0
2022-07-06 11:45:00+05:30,34109.75,34133.94921875,34101.8984375,34131.44921875,34131.44921875,0
2022-07-06 11:50:00+05:30,34129.1484375,34142.6484375,34101.1484375,34127.80078125,34127.80078125,0
2022-07-06 11:55:00+05:30,34125.1484375,34139.69921875,34115.30078125,34137.19921875,34137.19921875,0
2022-07-06 12:00:00+05:30,34136.1484375,34180.94921875,34110.30078125,34134.69921875,34134.69921875,0
2022-07-06 12:05:00+05:30,34133.44921875,34150.05078125,34123.8515625,34144.1484375,34144.1484375,0
2022-07-06 12:10:00+05:30,34143.8515625,34188.6484375,34135.80078125,34184.1015625,34184.1015625,0
2022-07-06 12:15:00+05:30,34182.0,34208.69921875,34170.44921875,34197.25,34197.25,0
2022-07-06 12:20:00+05:30,34198.30078125,34213.8515625,34173.69921875,34196.80078125,34196.80078125,0
2022-07-06 12:25:00+05:30,34197.6015625,34225.25,34184.6484375,34225.25,34225.25,0
